фрицев фриц
мог мочь
успешно успешно
остальных остальной
типах тип
машин машина
хороший хороший
хотя хотя
началу начало
устарел устареть
многим многий
характеристикам характеристика
уступал уступать
немецким немецкий
серийным серийный
истребителям истребитель
мессершмитт мессершмитта
особенно особенно
касалось касаться
скорости скорость
счет счёт
феноменальной феноменальный
маневренности манёвренность
машины машина
уклониться уклониться
удара удар
перейти перейти
контрнаступление контрнаступление
бою бой
виражах вираж
шансов шанс
одолеть одолеть
пилотов пилот
зря зря
асы ас
люфтваффе люфтваффа
прозвали прозвать
крысой крыса
сражаться сражаться
использовать использовать
преимущества преимущество
своих свой
нивелировать нивелировать
недостатки недостаток
нужен нужный
боевой боевой
опыт опыт
наших наш
летчиков лётчик
немецкие немецкий
прошли пройти
тяжелейшие тяжёлый
бои бой
францией франция
битве битва
англию англия
первом первый
боевом боевой
вылете вылет
погибал погибать
седьмой седьмой
лучших хороший
технике техника
пилотирования пилотирование
сумел суметь
преодолеть преодолеть
критический критический
барьер барьер
первых первый
боев бой
тех тот
днях день
вспоминал вспоминать
шока шок
дней день
немцы немец
завоевали завоевать
господство господство
воздухе воздух
наши наш
пилоты пилот
успокоились успокоиться
освоились освоиться
поняли понять
хвалеными хвалёный
немецкими немецкий
асами ас
вполне вполне
побеждать побеждать
используя использовать
преимущество преимущество
предупреждали предупреждать
молодых молодой
загоняйте загонять
крысу крыса
угол угол
приз приз
трехмоторный трехмоторный
юнкерс юнкерс
ю ю
записал записать
апреля апрель
следующие следующий
сбиты сбить
воздушном воздушный
валдаем валдай
бой бой
последним последний
як як
прошит прошить
несколькими несколько
пулеметными пулемётный
очередями очередь
заснеженный заснеженный
лес лес
пути путь
сбитый сбить
загорелся загореться
самой сам
землей земля
заставит заставить
падать падать
касательной касательная
ударился удариться
верхушки верхушка
деревьев дерево
выбросило выбросить
кабины кабина
крону крон
ели есть
сугроб сугроб
ранен ранить
контузия контузия
множественные множественный
переломы перелом
стоп стоп
раненому раненый
кислой кислый
вонью вонь
слежавшейся слежаться
шкуры шкура
хриплым хриплый
рычанием рычание
шатуна шатун
поднятого поднять
зимней зимний
берлоги берлога
звуками звук
голодный голодный
зверь зверь
крепкий крепкий
зимний зимний
спасло спасти
полетом полёт
кобуре кобура
порвалась порваться
застежка застёжка
пистолет пистолет
переложил переложить
карман карман
перевернул перевернуть
выстрелил выстрелить
упал упасть
нашей наш
стороны сторона
линии линия
глухом глухой
лесу лес
помощи помощь
ждать ждать
неоткуда неоткуда
идти идти
пополз поползти
надежде надежда
рано рано
поздно поздно
добраться добраться
тяжелораненый тяжелораненый
прожил прожить
известно известно
повести повесть
писателя писатель
бориса борис
полевого полевой
эта этот
повествования повествование
представляет представлять
собой себя
художественный художественный
вымысел вымысел
связно связно
рассказывал рассказывать
говорил говорить
сильно сильно
страдал страдать
боли боль
холода холод
голода голод
терял терять
испытывал испытывать
зрительные зрительный
слуховые слуховой
галлюцинации галлюцинация
нашел найти
ежа ёж
разорвал разорвать
съесть съесть
еле еле
нашли наслать
жители житель
деревни деревня
плав плав
новгородской новгородский
решили решить
немец немец
черный чёрный
целился целиться
пистолета пистолет
позже поздний
подобрали подобрать
подростка подросток
той тот
пришел прийти
рассказал рассказать
части часть
пацаны пацан
принесли принести
сообщили сообщить
ближайшее близкий
воинское воинский
подразделение подразделение
оттуда оттуда
приехали приехать
особиста особист
установив установить
личность личность
раненого раненый
ближайший близкий
фронтовой фронтовой
выяснилось выясниться
ступни ступня
раздроблены раздробить
отморожены отморозить
началась начаться
максимум максимум
могли мочь
сделать сделать
облегчить облегчить
предсмертные предсмертный
страдания страдание
спас спасти
андрей андрей
дехтяренко дехтяренко
прилетевший прилететь
навестить навестить
которого который
давно давно
считали считать
застал застать
умирающим умирающий
смирился смириться
засунул засунуть
находящегося находиться
полубессознательном полубессознательный
состоянии состояние
доставил доставить
московского московский
пво пво
прооперировал прооперировать
шаг шаг
шагом шаг
поставив поставить
цель цель
продолжить продолжить
фашистами фашист
двигался двигаться
упорно упорно
прямом прямой
переносном переносный
смысле смысл
сначала сначала
кресло кресло
коляска коляска
нужно нужно
научиться научиться
протезах протез
костылями костыль
тростью трость
дополнительной дополнительный
опоры опора
хромая хромать
двигаться двигаться
уверенно уверенно
делать делать
деревянными деревянный
ловко ловко
делал делать
раньше ранний
живыми живой
почувствовать почувствовать
протезом протез
легкое лёгкий
педали педаль
самолета самолёт
касается касаться
искусственная искусственный
стопа стоп
выполнена выполнить
культи культя
сформировались сформироваться
правильно правильно
протезы протез
оказались оказаться
грубыми грубый
тяжелыми тяжёлый
голеностопе голеностоп
сгибались сгибаться
ходьбе ходьба
амортизировали амортизировать
каждая каждый
неровность неровность
камешек камешек
дороге дорога
отдавались отдаваться
болью боль
всем весь
теле тело
страшно страшно
переступить переступить
порог порог
протезов протез
делали делать
наметил наметить
программу программа
тренировок тренировка
строго строго
выполнял выполнять
занимать занимать
симуляторами симулятор
педалей педаль
стали стать
две два
табуретки табуретка
сидя сидя
стуле стул
положить положить
перекладины перекладина
табуреток табуретка
аккуратно аккуратно
сдвигать сдвигать
точно точно
контролировать контролировать
перемещение перемещение
санатории санаторий
города город
куйбышева куйбышев
реабилитацию реабилитация
вечерам вечер
устраивались устраиваться
танцы танец
упражнением упражнение
упрямого упрямый
санаторий санаторий
периодически периодически
приезжала приезжать
врачебная врачебный
комиссия комиссия
определявшая определять
дальнейшую дальнейший
судьбу судьба
выздоравливавших выздоравливать
правилам правило
должны должный
комиссовать комиссовать
дать дать
инвалидность инвалидность
второй второй
группы группа
этим это
совершенно совершенно
согласен согласный
осмотров осмотр
бегал бегать
танцевал танцевать
прыгал прыгать
стула стул
невероятным невероятный
добивался добиваться
разрешения разрешение
медики медик
упрямцу упрямец
шла идти
опытный опытный
счету счёт
выписали выписать
направление направление
первоначального первоначальный
обучения обучение
заново заново
начать начать
несмотря несмотря
тренировки тренировка
алексею алексей
сразу сразу
приноровиться приноровиться
педалям педаль
бипланом биплан
дело дело
пошло пойти
зачет зачёт
принимал принимать
начальник начальник
результате результат
свидетельство свидетельство
годности годность
управлению управление
самолетами самолёт
типов тип
шел идти
февраль февраль
трудно трудно
поверить поверить
безногому безногий
понадобилось понадобиться
месяцев месяц
убедить убедить
профпригодности профпригодность
военных военный
оказалось оказаться
сложнее сложный
медиков медик
фронт фронт
лишь лишь
июле июль
сражение сражение
курской курский
дуге дуга
прибыл прибыть
гвардейский гвардейский
полку полка
встретили встретить
настороженно настороженно
боевым боевой
вылетам вылет
допускали допускать
разрешая разрешать
воздушное воздушный
патрулирование патрулирование
районе район
аэродрома аэродром
терпел терпеть
вскоре вскоре
командному командный
составу состав
полка полка
очевидно очевидный
пилотирует пилотировать
многих многий
александр александр
числов числово
ответственность ответственность
ведомым ведомый
вылет вылет
едва едва
закончился закончиться
трагедией трагедия
пара пара
столкнулась столкнуться
шестью шесть
мессерами мессер
советским советский
пилотам пилот
потребовалось потребоваться
умение умение
везение везение
отбиться отбиться
невредимыми невредимый
боя бой
вопросов вопрос
возникало возникать
сбил сбить
возвращения возвращение
противника противник
пикирующий пикировать
бомбардировщик бомбардировщик
лаптежниками лаптежник
неубиравшихся неубираться
шасси шасси
следующий следующий
день день
командира командир
го го
авиаполка авиаполк
испании испания
халхин халхина
гола гол
валериана валериан
яманова ямановый
ведомого ведомый
выведя вывести
сбив сбить
присвоено присвоить
любопытно любопытно
маршалу маршал
авиации авиация
александру александр
новикову новиков
лично лично
распорядившемуся распорядиться
награждении награждение
никто никто
искусственные искусственный
повседневной повседневный
работе работа
забылись забыться
увечья увечье
подвиги подвиг
летал летать
воевал воевать
бил бить
врага враг
товарищей товарищ
приближал приближать
победу победа
сбитых сбить
стонал стонать
важный важный
обязательный обязательный
сюжет сюжет
воплощение воплощение
подвига подвиг
искусстве искусство
военным военный
корреспондентом корреспондент
газеты газета
правда правда
борисом борис
полевым полевой
камповым кампов
встретился встретиться
случайно случайно
приехавшего приехать
военкора военкор
расположили расположить
ночлег ночлег
блиндаже блиндаж
ложась ложиться
койку койка
отстегнул отстегнуть
грохнулись грохнуться
пол пол
произошло произойти
знакомство знакомство
полевой полевой
написал написать
очерк очерк
правды правда
подробно подробно
пересказал пересказать
историю история
публикацией публикация
очерком очерк
ознакомился ознакомиться
сталин сталин
оставил оставить
резолюцию резолюция
интересно интересно
своевременно своевременно
рассказывать рассказывать
воюют воевать
безногие безногий
летчики лётчик
пусть пусть
товарищ товарищ
напишет написать
подробней подробный
иосиф иосиф
очерку очерк
работал работать
нюрнбергском нюрнбергский
процессе процесс
повесть повесть
вышла выйти
журнале журнал
октябрь октябрь
следующем следующий
отдельной отдельный
книгой книга
такова таков
версия версия
работу работа
сталинскую сталинский
премию премия
ноября ноябрь
подробный подробный
рассказ рассказ
маресьеве маресьев
названием название
воля воля
опубликован опубликовать
газете газета
красная красный
звезда звезда
писателем писатель
фронтовым фронтовой
василием василий
ильенковым ильенков
приоритета приоритет
любимца любимец
сталина сталин
скромный скромный
красной красный
звезды звезда
оспаривал оспаривать
текст текст
согласовывал согласовывать
выходе выход
радиопостановки радиопостановка
словам слово
сына сын
разу раз
конца конец
прочел прочесть
книге книга
фамилии фамилия
изменена изменить
буква буква
мересьев мересьев
петровича петрович
спрашивали спрашивать
почему почему
изменил изменить
фамилию фамилия
отшучивался отшучиваться
боялся бояться
сопьюсь спиться
книжку книжка
запретят запретить
сказать сказать
книжка книжка
кроме кроме
несовпадений несовпадение
реальной реальный
историей история
полностью полностью
придумана придумать
любовная любовный
линия линия
тоненькой тоненький
девушкой девушка
ольгой ольга
фотографией фотография
которую который
носит носить
тылу тыл
территории территория
описание описание
заледеневшего заледенеть
поля поле
узбек узбек
гранатой граната
кинжалом кинжал
спине спина
вырезанные вырезать
раненые раненый
английский английский
дуглас дуглас
бадер бадер
статья статья
котором который
помогла помочь
невозможное невозможный
патриотично патриотичный
заменен заменить
существовавшего существовать
русского русский
авиатора авиатор
первой первый
мировой мировой
карповича карпович
принято принять
писать писать
основана основать
реальных реальный
событиях событие
сказал сказать
процентов процент
снят снятой
фильм фильм
павлом павел
кадочниковым кадочников
главной главный
роли роль
посмотрел посмотреть
пересматривал пересматривать
доволен довольный
кадочников кадочник
изобразил изобразить
экране экран
скромно скромно
отвечал отвечать
основном основное
стонет стонать
актерский актёрский
прием приём
преувеличивать преувеличивать
композитор композитор
сергей сергей
прокофьев прокофьев
оперу опера
опера опера
понравилась понравиться
версии версия
опере опера
удался удаться
звук звук
легче лёгкий
ползти ползти
раздробленными раздробить
часа час
слушать слушать
ахинею ахинея
произведение произведение
прочно прочно
вошло войти
устный устный
народный народный
фольклор фольклор
фразы фраза
либретто либретто
анекдотами анекдот
полвека полвека
проходить проходить
ходулях ходуля
послевоенная послевоенный
сложилась сложиться
целом целое
удачно удачно
окончил окончить
высшую высокий
партийную партийный
цк цк
кпсс кпсс
защитил защитить
диссертацию диссертация
ответственным ответственный
секретарем секретарь
комитета комитет
ветеранов ветеран
участвовал участвовать
церемонии церемония
зажжения зажжение
вечного вечный
огня огонь
кремлевской кремлёвский
стены стена
передал передать
факел факел
руки рука
генеральному генеральный
секретарю секретарь
леониду леонид
брежневу брежнев
годах год
избирался избираться
народным народный
депутатом депутат
течение течение
всей весь
строгим строгий
режимщиком режимщикома
каждое каждый
начинал начинать
специального специальный
комплекса комплекс
упражнений упражнение
лежа лёжа
катался кататься
коньках конёк
ходил ходить
рыбалку рыбалка
управлял управлять
обычным обычный
автомобилем автомобиль
катером катер
увлек увлечь
водным водный
спортом спорт
юрия юрий
гагарина гагарин
курил курить
практически практически
употреблял употреблять
спиртного спиртное
вел вести
здоровый здоровый
образ образ
позволило позволить
петрович петрович
инфаркта инфаркт
накануне накануне
летия летие
должно должный
пышно пышно
отмечаться отмечаться
театре театр
армии армия
жзл жзл
комментарии комментарий
отключены отключить
редакциярекламаконтактыпресс редакциярекламаконтактыпресс
использованияполитика использованияполитик
конфиденциальностиправила конфиденциальностиправить
применения применение
рекомендательных рекомендательный
технологиймини технологийминь
ооо ооо
опечатку опечатка
нажмите нажать
деактивирована деактивировать
добро добро
пожаловать пожаловать
реальный реальный
новые новый
материалы материал
